2023-01-13 12:53:53,918 -+- PEER15_LOGGER -+- INFO -+- Start logging
2023-01-13 12:53:53,918 -+- PEER15_LOGGER -+- INFO -+- Network simulator activated, running at ('127.0.0.1', 46568).
2023-01-13 12:53:55,875 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack0, pkt_len56
2023-01-13 12:53:55,876 -+- PEER15_LOGGER -+- DEBUG -+- sending a type1 pkt to ('127.0.0.1', 48005) via spiffy, seq0, ack0, pkt_len56
2023-01-13 12:53:56,277 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len76
2023-01-13 12:53:56,280 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type2 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack0, pkt_len56
2023-01-13 12:53:56,281 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq1, ack0, pkt_len1060
2023-01-13 12:53:56,281 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack0, pkt_len56
2023-01-13 12:53:56,707 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack1, pkt_len36
2023-01-13 12:53:56,707 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq2, ack0, pkt_len1060
2023-01-13 12:53:56,708 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq3, ack0, pkt_len1060
2023-01-13 12:53:56,880 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack0, pkt_len76
2023-01-13 12:53:57,139 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack2, pkt_len36
2023-01-13 12:53:57,153 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack3, pkt_len36
2023-01-13 12:53:57,154 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq4, ack0, pkt_len1060
2023-01-13 12:53:57,154 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq5, ack0, pkt_len1060
2023-01-13 12:53:57,154 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq6, ack0, pkt_len1060
2023-01-13 12:53:57,154 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq7, ack0, pkt_len1060
2023-01-13 12:53:57,580 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack4, pkt_len36
2023-01-13 12:53:57,596 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack5, pkt_len36
2023-01-13 12:53:57,615 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack6, pkt_len36
2023-01-13 12:53:57,642 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack7, pkt_len36
2023-01-13 12:53:57,643 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq8, ack0, pkt_len1060
2023-01-13 12:53:57,643 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq9, ack0, pkt_len1060
2023-01-13 12:53:57,643 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq10, ack0, pkt_len1060
2023-01-13 12:53:57,643 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq11, ack0, pkt_len1060
2023-01-13 12:53:57,643 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq12, ack0, pkt_len1060
2023-01-13 12:53:57,643 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq13, ack0, pkt_len1060
2023-01-13 12:53:57,643 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq14, ack0, pkt_len1060
2023-01-13 12:53:57,643 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq15, ack0, pkt_len1060
2023-01-13 12:53:58,069 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack8, pkt_len36
2023-01-13 12:53:58,092 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack9, pkt_len36
2023-01-13 12:53:58,110 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack10, pkt_len36
2023-01-13 12:53:58,123 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack11, pkt_len36
2023-01-13 12:53:58,138 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack12, pkt_len36
2023-01-13 12:53:58,158 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack13, pkt_len36
2023-01-13 12:53:58,175 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack14, pkt_len36
2023-01-13 12:53:58,198 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack15, pkt_len36
2023-01-13 12:53:58,198 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq16, ack0, pkt_len1060
2023-01-13 12:53:58,198 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq17, ack0, pkt_len1060
2023-01-13 12:53:58,199 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq18, ack0, pkt_len1060
2023-01-13 12:53:58,199 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq19, ack0, pkt_len1060
2023-01-13 12:53:58,199 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq20, ack0, pkt_len1060
2023-01-13 12:53:58,199 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq21, ack0, pkt_len1060
2023-01-13 12:53:58,199 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq22, ack0, pkt_len1060
2023-01-13 12:53:58,199 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq23, ack0, pkt_len1060
2023-01-13 12:53:58,199 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq24, ack0, pkt_len1060
2023-01-13 12:53:58,199 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq25, ack0, pkt_len1060
2023-01-13 12:53:58,199 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq26, ack0, pkt_len1060
2023-01-13 12:53:58,199 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq27, ack0, pkt_len1060
2023-01-13 12:53:58,199 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq28, ack0, pkt_len1060
2023-01-13 12:53:58,199 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq29, ack0, pkt_len1060
2023-01-13 12:53:58,199 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq30, ack0, pkt_len1060
2023-01-13 12:53:58,199 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq31, ack0, pkt_len1060
2023-01-13 12:53:58,624 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack16, pkt_len36
2023-01-13 12:53:58,640 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack17, pkt_len36
2023-01-13 12:53:58,658 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack18, pkt_len36
2023-01-13 12:53:58,676 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack19, pkt_len36
2023-01-13 12:53:58,692 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack20, pkt_len36
2023-01-13 12:53:58,713 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack21, pkt_len36
2023-01-13 12:53:58,728 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack22, pkt_len36
2023-01-13 12:53:58,746 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack23, pkt_len36
2023-01-13 12:53:58,763 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack24, pkt_len36
2023-01-13 12:53:58,779 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack25, pkt_len36
2023-01-13 12:53:58,796 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack26, pkt_len36
2023-01-13 12:53:58,816 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack27, pkt_len36
2023-01-13 12:53:58,833 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack28, pkt_len36
2023-01-13 12:53:58,843 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack29, pkt_len36
2023-01-13 12:53:58,860 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack30, pkt_len36
2023-01-13 12:53:58,964 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq31, ack0, pkt_len1060
2023-01-13 12:53:59,390 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack31, pkt_len36
2023-01-13 12:53:59,390 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq32, ack0, pkt_len1060
2023-01-13 12:53:59,824 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack32, pkt_len36
