2023-01-13 12:58:57,593 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:46] - INFO: Start logging
2023-01-13 12:58:57,593 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:121] - INFO: Network simulator activated, running at ('127.0.0.1', 48017).
2023-01-13 12:59:00,230 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type0 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack0, pkt_len56
2023-01-13 12:59:00,230 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type1 pkt to ('127.0.0.1', 48001) via spiffy, seq0, ack0, pkt_le20232023-01-13 12:59:00,233 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type2 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack0, pkt_len56
2023-01-13 12:59:00,233 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type3 pkt to ('127.0.0.1', 48001) via spiffy, seq1, ack0, pkt_le2023-02023-01-13 12:59:00,233 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack1, pkt_len36
2023-01-13 12:59:00,234 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type3 pkt to ('127.0.0.1', 48001) via spiffy, seq2, ack0, pkt_le2023-01-13 12:59:00,234 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq2, ack0, pkt_len1060
202023-01-13 12:59:00,234 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack2, pkt_len36
2023-01-13 12:59:00,234 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack3, pkt_len36
2023-01-13 12:59:00,234 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type3 pkt to ('127.0.0.1', 48001) via spiffy, seq4, ack0, pkt_le2023-01-13 12:59:00,235 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq4, ack0, pkt_len1060
2023-01-13 12:59:00,235 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack4, pkt_len36
2023-01-13 12:59:00,235 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq5, ack0, pkt_len1060
2023-01-13 12:59:00,235 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack4, pkt_len36
2023-01-13 12:59:00,235 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack5, pkt_len36
2023-01-13 12:59:00,236 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack6, pkt_len36
2023-01-13 12:59:00,236 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack7, pkt_len36
2023-01-13 12:59:00,236 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type3 pkt to ('127.0.0.1', 48001) via spiffy, seq8, ack0, pkt_le2023-01-13 12:59:00,237 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq8, ack0, pkt_len1060
2023-01-13 12:59:00,237 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack8, pkt_len36
2023-01-13 12:59:00,237 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq9, ack0, pkt_len1060
2023-01-13 12:59:00,237 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack9, pkt_len36
2023-01-13 12:59:00,237 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq10, ack0, pkt_len1060
2023-01-13 12:59:00,237 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack10, pkt_len36
2023-01-13 12:59:00,237 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq11, ack0, pkt_len10602023-01-13 12:59:00,237 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack8, pkt_len36
2023-01-13 12:59:00,237 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack9, pkt_len36
2023-01-13 12:59:00,237 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack10, pkt_len36
2023-01-13 12:59:00,237 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack11, pkt_len36
2023-01-13 12:59:00,238 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack12, pkt_len36
2023-01-13 12:59:00,238 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack13, pkt_len36
2023-01-13 12:59:00,238 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack14, pkt_len36
2023-01-13 12:59:00,238 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack15, pkt_len36
